gamma_1,gamma_2,label,id
0.02765733708239715,0.004675568274181696,0.0,72.0
0.05863814129674161,0.004675568274181696,1.0,72.0
0.023438163158888692,0.004411235475407338,0.0,73.0
0.05429001302534475,0.004411235475407338,1.0,73.0
0.028460028695263873,0.0047991067441506274,0.0,74.0
0.062081656667644314,0.0047991067441506274,1.0,74.0
0.02856507357505267,0.003963420733636536,0.0,75.0
0.04348140220923824,0.003963420733636536,1.0,75.0
0.02773840137222594,0.0043665370871841525,0.0,76.0
0.04039265102801215,0.0043665370871841525,1.0,76.0
0.025313854477128306,0.0044059383802435015,0.0,77.0
0.0493422285348295,0.0044059383802435015,1.0,77.0
0.017754091075618206,0.0047728087299194755,0.0,78.0
0.07215833166170471,0.0047728087299194755,1.0,78.0
0.022581982266224987,0.006897377969614649,0.0,79.0
0.0797161154285071,0.006897377969614649,1.0,79.0
0.02365123931262758,0.006683392576265934,0.0,80.0
0.07682936838728693,0.006683392576265934,1.0,80.0
0.02867722516084914,0.007020571679421828,0.0,81.0
0.06591464146585402,0.007020571679421828,1.0,81.0
0.02747122481876829,0.005271290458536804,0.0,82.0
0.0743280465928371,0.005271290458536804,1.0,82.0
0.023077556906130337,0.003741814818225553,0.0,83.0
0.0720264479468562,0.003741814818225553,1.0,83.0
0.018861216265186886,0.004689415604096858,0.0,84.0
0.06121695610526956,0.004689415604096858,1.0,84.0
0.017783506456040765,0.0037525505892523903,0.0,85.0
0.06266614169519746,0.0037525505892523903,1.0,85.0
0.021460126376720012,0.005302348558767989,0.0,86.0
0.06817199016926434,0.005302348558767989,1.0,86.0
0.023754575684162837,0.006140647830154666,0.0,87.0
0.06145644279322271,0.006140647830154666,1.0,87.0
0.027408883862098943,0.0051732461015081554,0.0,88.0
0.05839347628011948,0.0051732461015081554,1.0,88.0
0.027204846260087123,0.004124851699421672,0.0,89.0
0.09183595138639244,0.004124851699421672,1.0,89.0
0.022691849984240786,0.0038252386833024232,0.0,90.0
0.04501998261888307,0.0038252386833024232,1.0,90.0
0.021271956201789344,0.005268892553256244,0.0,91.0
0.06927728630587149,0.005268892553256244,1.0,91.0
0.01884961285487563,0.006548200437378693,0.0,92.0
0.026607550832272953,0.006548200437378693,1.0,92.0
0.029109550617826496,0.012714332467865574,0.0,93.0
0.04170764563521523,0.012714332467865574,1.0,93.0
0.025727786947935094,0.012522258272379183,0.0,94.0
0.039523250717544034,0.012522258272379183,1.0,94.0
0.026936872397464562,0.009815126014475428,0.0,95.0
0.038994098971870894,0.009815126014475428,1.0,95.0
0.02704887060461436,0.005676869781042093,0.0,96.0
0.030593206940570994,0.005676869781042093,1.0,96.0
0.023993062928625353,0.004539281690147057,0.0,97.0
0.02848365159480437,0.004539281690147057,1.0,97.0
0.023875830814595655,0.009660952747157392,0.0,98.0
0.036069396708090284,0.009660952747157392,1.0,98.0
0.01995828417676382,0.0027360107888667606,0.0,99.0
0.03674287688864908,0.0027360107888667606,1.0,99.0
0.023964957595811853,0.004975969286091786,0.0,100.0
0.034154811291033926,0.004975969286091786,1.0,100.0
0.02592283011468899,0.00514413078885978,0.0,101.0
0.03902963420531025,0.00514413078885978,1.0,101.0
0.02828254530380958,0.005209269738330136,0.0,102.0
0.038458266391915075,0.005209269738330136,1.0,102.0
0.030290801057115235,0.004610868066782459,0.0,103.0
0.03876466199137196,0.004610868066782459,1.0,103.0
0.021397582130657344,0.0034242722795152503,0.0,104.0
0.029432809547589756,0.0034242722795152503,1.0,104.0
0.022571552301987374,0.0036146750777508174,0.0,105.0
0.03257605043264222,0.0036146750777508174,1.0,105.0
0.016755991461316455,0.0031417120710544033,0.0,106.0
0.030987109956666536,0.0031417120710544033,1.0,106.0
0.02168667733588503,0.004704546574455293,0.0,107.0
0.03664172788127118,0.004704546574455293,1.0,107.0
0.02007247728850725,0.004418361029225437,0.0,108.0
0.029323519908044826,0.004418361029225437,1.0,108.0
0.02504456496811791,0.005459729975154648,0.0,109.0
0.034873602737982345,0.005459729975154648,1.0,109.0
0.03327269372970276,0.006383401698672575,0.0,110.0
0.040515732795726844,0.006383401698672575,1.0,110.0
0.026535064462505975,0.004613310787339842,0.0,111.0
0.035915022121925766,0.004613310787339842,1.0,111.0
0.022305686028700755,0.00456020017285752,0.0,112.0
0.03634052133070176,0.00456020017285752,1.0,112.0
0.02235502376684506,0.004371105859630742,0.0,113.0
0.06132552724075557,0.004371105859630742,1.0,113.0
0.029837684540869436,0.006304143666720385,0.0,114.0
0.10089471117445337,0.006304143666720385,1.0,114.0
0.026756720775583,0.005419063422921422,0.0,115.0
0.06980342883474178,0.005419063422921422,1.0,115.0
0.03519961842699448,0.007946807748682172,0.0,116.0
0.08661626636262598,0.007946807748682172,1.0,116.0
0.02863780372659619,0.00808498888647291,0.0,117.0
0.06974254736380026,0.00808498888647291,1.0,117.0
0.02508832723757415,0.0050552311435794195,0.0,118.0
0.06450938425060482,0.0050552311435794195,1.0,118.0
0.02705440430978756,0.00565874478281847,0.0,119.0
0.07099802124939014,0.00565874478281847,1.0,119.0
0.02065077097919943,0.0037199733235491195,0.0,120.0
0.06854550238377888,0.0037199733235491195,1.0,120.0
0.029551666824904288,0.004215753005371692,0.0,121.0
0.06873490160150864,0.004215753005371692,1.0,121.0
0.02786364484555559,0.004865689129918138,0.0,122.0
0.05408751858754668,0.004865689129918138,1.0,122.0
0.03373142143063923,0.004445314079446483,0.0,123.0
0.057017861520926694,0.004445314079446483,1.0,123.0
0.03224065634730522,0.004139891291722986,0.0,124.0
0.04378209881576156,0.004139891291722986,1.0,124.0
0.024598595052427008,0.0035501050758082187,0.0,125.0
0.0429023681835603,0.0035501050758082187,1.0,125.0
0.024745412435513536,0.004280592921815263,0.0,126.0
0.047589231863256476,0.004280592921815263,1.0,126.0
0.02314461658574407,0.0034989755754080143,0.0,127.0
0.04509923360026269,0.0034989755754080143,1.0,127.0
0.033177505323298995,0.0043158830062410836,0.0,128.0
0.06842827842776877,0.0043158830062410836,1.0,128.0
0.034652250167749976,0.004666611473000071,0.0,129.0
0.06792772487430554,0.004666611473000071,1.0,129.0
0.04010820510039759,0.006411795206962889,0.0,130.0
0.06590860165008072,0.006411795206962889,1.0,130.0
0.03269075113954312,0.006187294825950929,0.0,131.0
0.05321155717113779,0.006187294825950929,1.0,131.0
0.02311459049089226,0.0040748995496580065,0.0,132.0
0.04246785135146025,0.0040748995496580065,1.0,132.0
0.025917683230886723,0.004425777369983397,0.0,133.0
0.05008475780757937,0.004425777369983397,1.0,133.0
0.02135013540749764,0.004336145220379617,0.0,134.0
0.06123377343757541,0.004336145220379617,1.0,134.0
0.025216927532135003,0.00590840520150282,0.0,135.0
0.09491999639283444,0.00590840520150282,1.0,135.0
0.024479629325980135,0.00592278590734141,0.0,136.0
0.07298145634276665,0.00592278590734141,1.0,136.0
0.03162169786234159,0.006214124057792869,0.0,137.0
0.06925843575491397,0.006214124057792869,1.0,137.0
0.03691346692775754,0.008255844754033959,0.0,138.0
0.07352783166399535,0.008255844754033959,1.0,138.0
0.02436407134778218,0.004483535516666581,0.0,139.0
0.07052559710688389,0.004483535516666581,1.0,139.0
0.022373113052430504,0.0048082918094047855,0.0,140.0
0.06141095099120397,0.0048082918094047855,1.0,140.0
0.02031037423398807,0.0033296166691321183,0.0,141.0
0.03269717198588484,0.0033296166691321183,1.0,141.0
0.02190950518638557,0.005296209645437866,0.0,142.0
0.03651764748595765,0.005296209645437866,1.0,142.0
0.022703313059510233,0.0050097469245660164,0.0,143.0
0.04884111967520166,0.0050097469245660164,1.0,143.0
0.031072273083331048,0.007836552814715514,0.0,144.0
0.04747667296610336,0.007836552814715514,1.0,144.0
0.033571296600229505,0.006404762750893855,0.0,145.0
0.0470125641411272,0.006404762750893855,1.0,145.0
0.024842464650360885,0.004413072850460331,0.0,146.0
0.036737028252796566,0.004413072850460331,1.0,146.0
0.021342503612530983,0.0046884079419000635,0.0,147.0
0.040185147274290234,0.0046884079419000635,1.0,147.0
0.016389718598068814,0.0033172241659213952,0.0,148.0
0.03693561112147359,0.0033172241659213952,1.0,148.0
0.021036142055333773,0.004194137102715878,0.0,149.0
0.03587479171496799,0.004194137102715878,1.0,149.0
0.02233002271340956,0.004946004950947991,0.0,150.0
0.032592395212712955,0.004946004950947991,1.0,150.0
0.02260071017803167,0.004325464322600503,0.0,151.0
0.0438984794908146,0.004325464322600503,1.0,151.0
0.02633242304195038,0.004173933656796525,0.0,152.0
0.04007332688986054,0.004173933656796525,1.0,152.0
0.022574729886396305,0.003945370771022638,0.0,153.0
0.03804455196882994,0.003945370771022638,1.0,153.0
0.01790163596125849,0.0035192036552675887,0.0,154.0
0.0389094055532162,0.0035192036552675887,1.0,154.0
0.016005783798641815,0.0043917840669109864,0.0,155.0
0.04127976603034478,0.0043917840669109864,1.0,155.0
0.02697694384978,0.007646645873507829,0.0,156.0
0.07449236275491389,0.007646645873507829,1.0,156.0
0.023364754219147965,0.0060024538810155015,0.0,157.0
0.06809790757564604,0.0060024538810155015,1.0,157.0
0.03262304041533559,0.006232812437638291,0.0,158.0
