cm_1_power,cm_2_power,cm_3_power,cm_4_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
587.129028,383.482644,362.997657,287.219617,27.41032,23.311135,9.803749,21.175414,28.701889,30.460583,20.932789,14.160863,88.969984,9.926604,42.142573,-1.074312,40.169649,50.187581,67.977823,46.897766,51.27872,38.853565,12.704995,20.952257,14.338926,33.951172,12.935693,32.208393,35.077727,23.03183,45.789873,29.799516,22.368819,20.790569,33.359959,33.022658,10.276543,36.727778,21.003985,10.433539,57.993811,33.922475,56.733903,-0.57611,60.736182,22.248458,23.140759,12.568008,16.751961,22.69412,51.988309,31.102743,18.669946,24.360105,5.880506,41.448488,34.354254,9.050841,19.250879,0.0,16.0
587.129028,383.482644,362.997657,287.219617,27.41032,23.311135,6.431343,21.175414,28.701889,30.460583,20.932789,14.160863,88.969984,9.926604,42.142573,-1.074312,40.169649,50.187581,67.977823,46.897766,51.27872,38.853565,12.704995,20.952257,14.338926,33.951172,12.935693,32.208393,35.077727,23.03183,45.789873,29.799516,22.368819,20.790569,33.359959,33.022658,10.276543,36.727778,21.003985,10.433539,57.993811,33.922475,56.733903,-0.57611,60.736182,22.248458,23.140759,12.568008,16.751961,22.69412,51.988309,31.102743,18.669946,24.360105,5.880506,41.448488,34.354254,9.050841,19.250879,1.0,16.0
583.027887,346.133143,372.775802,297.495163,25.764852,21.48135,11.03211,22.864162,26.130444,32.742128,20.760652,14.190405,43.965583,10.168588,53.205256,42.396503,40.618625,47.039172,51.828958,50.814133,53.732359,31.257527,13.051271,18.451468,11.954207,21.54055,5.323627,38.219125,33.594783,16.636694,45.916333,32.584835,28.367422,17.310817,33.849572,41.627651,11.262639,30.485533,25.623742,6.663416,55.765465,25.371218,56.693545,-3.811303,51.803377,20.223542,24.013902,14.178228,17.171548,30.481241,39.857796,29.631683,19.872628,11.327057,14.589671,56.498205,43.359729,8.526812,33.146504,0.0,17.0
583.027887,346.133143,372.775802,297.495163,25.764852,21.48135,7.237158,22.864162,26.130444,32.742128,20.760652,14.190405,43.965583,10.168588,53.205256,42.396503,40.618625,47.039172,51.828958,50.814133,53.732359,31.257527,13.051271,18.451468,11.954207,21.54055,5.323627,38.219125,33.594783,16.636694,45.916333,32.584835,28.367422,17.310817,33.849572,41.627651,11.262639,30.485533,25.623742,6.663416,55.765465,25.371218,56.693545,-3.811303,51.803377,20.223542,24.013902,14.178228,17.171548,30.481241,39.857796,29.631683,19.872628,11.327057,14.589671,56.498205,43.359729,8.526812,33.146504,1.0,17.0
661.160609,379.874329,406.360042,297.62602,29.184535,24.144035,9.791973,21.071718,32.642763,41.136879,19.083339,15.76337,78.242825,11.948257,55.190128,52.580068,64.107431,49.948813,47.658258,52.317682,40.03245,34.255605,12.501,18.369126,13.001301,23.800237,12.412622,29.720033,31.242322,23.673993,54.214736,38.219759,30.487082,18.410969,33.380229,46.993397,9.984788,35.654106,19.683736,7.305588,77.595237,40.644921,54.550221,4.101135,74.884302,18.445497,22.004961,15.057049,14.614073,37.642919,27.146968,30.338327,15.509486,10.224722,16.510185,48.423396,45.31214,10.351989,23.166233,0.0,18.0
661.160609,379.874329,406.360042,297.62602,29.184535,24.144035,6.423618,21.071718,32.642763,41.136879,19.083339,15.76337,78.242825,11.948257,55.190128,52.580068,64.107431,49.948813,47.658258,52.317682,40.03245,34.255605,12.501,18.369126,13.001301,23.800237,12.412622,29.720033,31.242322,23.673993,54.214736,38.219759,30.487082,18.410969,33.380229,46.993397,9.984788,35.654106,19.683736,7.305588,77.595237,40.644921,54.550221,4.101135,74.884302,18.445497,22.004961,15.057049,14.614073,37.642919,27.146968,30.338327,15.509486,10.224722,16.510185,48.423396,45.31214,10.351989,23.166233,1.0,18.0
809.59026,461.610225,571.269808,467.770587,23.634023,23.497363,9.072038,23.243632,32.699752,79.045889,15.947845,83.647926,100.841422,15.892384,41.398699,49.23945,78.090494,49.134038,65.074283,57.485286,32.823978,40.792286,49.275503,22.536528,11.676036,40.509728,7.810095,126.206273,41.230043,17.840751,50.726704,45.820032,27.543118,19.200524,35.360662,54.094504,9.489849,33.410422,15.909073,13.112203,90.999998,51.577072,80.772985,44.248871,148.773805,15.134696,25.122338,15.67064,19.265575,51.211659,28.596927,40.59967,18.785371,22.950157,20.689203,92.806524,10.488688,24.975523,28.050781,0.0,19.0
809.59026,461.610225,571.269808,467.770587,23.634023,23.497363,5.951334,23.243632,32.699752,79.045889,15.947845,83.647926,100.841422,15.892384,41.398699,49.23945,78.090494,49.134038,65.074283,57.485286,32.823978,40.792286,49.275503,22.536528,11.676036,40.509728,7.810095,126.206273,41.230043,17.840751,50.726704,45.820032,27.543118,19.200524,35.360662,54.094504,9.489849,33.410422,15.909073,13.112203,90.999998,51.577072,80.772985,44.248871,148.773805,15.134696,25.122338,15.67064,19.265575,51.211659,28.596927,40.59967,18.785371,22.950157,20.689203,92.806524,10.488688,24.975523,28.050781,1.0,19.0
646.49524,387.73367,484.389293,285.004627,24.350956,22.137464,11.898568,21.869299,56.473362,31.833705,19.390495,21.102844,79.281378,16.504848,43.16989,14.257267,61.497457,47.981194,66.003768,56.748985,35.213725,41.091614,11.387027,30.080163,9.758141,29.989161,10.263272,90.221826,37.442513,17.377187,60.020987,56.362116,22.779678,20.068371,39.64749,38.475268,8.443288,30.437296,19.247096,15.958684,59.241843,14.318689,80.283573,26.472692,53.879348,19.965792,22.871714,16.135597,15.045744,39.668214,24.595277,33.050538,17.20462,14.443881,9.183501,74.692704,3.984361,17.414875,21.784042,0.0,20.0
646.49524,387.73367,484.389293,285.004627,24.350956,22.137464,7.805562,21.869299,56.473362,31.833705,19.390495,21.102844,79.281378,16.504848,43.16989,14.257267,61.497457,47.981194,66.003768,56.748985,35.213725,41.091614,11.387027,30.080163,9.758141,29.989161,10.263272,90.221826,37.442513,17.377187,60.020987,56.362116,22.779678,20.068371,39.64749,38.475268,8.443288,30.437296,19.247096,15.958684,59.241843,14.318689,80.283573,26.472692,53.879348,19.965792,22.871714,16.135597,15.045744,39.668214,24.595277,33.050538,17.20462,14.443881,9.183501,74.692704,3.984361,17.414875,21.784042,1.0,20.0
