poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,poisson_6,poisson_7,poisson_8,poisson_9,poisson_10,label,id
-32.39107069980332,-0.22241545688018505,-0.2266921162913036,-2.064685707983358,-0.3070659734131027,-0.1142765905456713,-1.2380789553947125,-0.4771367058869487,-0.6242381294414372,-0.4934275630382672,1.0,11.0
-34.981383545009976,-0.3874510076544766,-0.25184390495763864,-3.6904020927720467,-0.7509711417758922,-0.2951864148181471,-2.080718630739341,-0.9782470729434181,-1.1250281323931404,-1.1075356029547265,0.0,12.0
-52.11037906988349,-0.3874510076544766,-0.25184390495763864,-3.6904020927720467,-0.7509711417758922,-0.2951864148181471,-2.080718630739341,-0.9782470729434181,-1.1250281323931404,-1.1075356029547265,1.0,12.0
-25.329728736842753,-0.10886371224142977,-0.14167085821833325,-2.780299070847491,-0.373431186236985,-0.12109703675253058,-1.6728199276701616,-0.8743998183854274,-0.6235465333893444,-0.5520040262081238,0.0,13.0
-42.46432971008363,-0.10886371224142977,-0.14167085821833325,-2.780299070847491,-0.373431186236985,-0.12109703675253058,-1.6728199276701616,-0.8743998183854274,-0.6235465333893444,-0.5520040262081238,1.0,13.0
-17.810335581352547,-0.08957671709754322,-0.18824269656471415,-2.057333145390089,-0.38507193956564834,-0.16707578221326003,-1.1543397341782793,-0.449584900055811,-0.568307919273991,-0.44995258137527117,0.0,14.0
-28.997030307143575,-0.08957671709754322,-0.18824269656471415,-2.057333145390089,-0.38507193956564834,-0.16707578221326003,-1.1543397341782793,-0.449584900055811,-0.568307919273991,-0.44995258137527117,1.0,14.0
-15.815846040610495,-0.11880270513432833,-0.21231116924826665,-1.758852004005007,-0.3519130313892447,-0.08199564689735439,-0.7973833937710992,-0.32375412266043213,-0.3655478703665267,-0.28021027154301237,0.0,15.0
-20.890924085460767,-0.11880270513432833,-0.21231116924826665,-1.758852004005007,-0.3519130313892447,-0.08199564689735439,-0.7973833937710992,-0.32375412266043213,-0.3655478703665267,-0.28021027154301237,1.0,15.0
-15.183704324771895,-0.156746313841154,-0.14004907233760377,-1.935194121348104,-0.5068575772148165,-0.08229847193177875,-0.5448159189419925,-0.20123125461287827,-0.23294722754025088,-0.1774798042405905,0.0,16.0
-22.820504665049896,-0.156746313841154,-0.14004907233760377,-1.935194121348104,-0.5068575772148165,-0.08229847193177875,-0.5448159189419925,-0.20123125461287827,-0.23294722754025088,-0.1774798042405905,1.0,16.0
-16.54800138917159,-0.14179069406958433,-0.14463997144900986,-1.7526153965488902,-0.37278839947367715,-0.08827539620961034,-0.7664459662744321,-0.28804349491508674,-0.364803448363034,-0.3246615406138744,0.0,17.0
-24.26521664028047,-0.14179069406958433,-0.14463997144900986,-1.7526153965488902,-0.37278839947367715,-0.08827539620961034,-0.7664459662744321,-0.28804349491508674,-0.364803448363034,-0.3246615406138744,1.0,17.0
-24.079499798377014,-0.2237782052446846,-0.21242610506919846,-3.2799880281335163,-1.006014701885647,-0.4029252724398589,-0.9055641172240598,-0.33195312027925183,-0.4073829102093782,-0.3366577197781453,0.0,18.0
-31.53869796158034,-0.2237782052446846,-0.21242610506919846,-3.2799880281335163,-1.006014701885647,-0.4029252724398589,-0.9055641172240598,-0.33195312027925183,-0.4073829102093782,-0.3366577197781453,1.0,18.0
-37.75920571823599,-0.3635065426781239,-0.4373283456808963,-5.74234888161584,-1.809861969259373,-0.4514031611301448,-1.9263380868266609,-0.5586962808018257,-0.6761959501782826,-0.6645715093238209,0.0,19.0
-44.853599869174786,-0.3635065426781239,-0.4373283456808963,-5.74234888161584,-1.809861969259373,-0.4514031611301448,-1.9263380868266609,-0.5586962808018257,-0.6761959501782826,-0.6645715093238209,1.0,19.0
-20.950064248286935,-0.32543207873106894,-0.3318520616519436,-2.3562766739875087,-0.6350384025686822,-0.28630093724916605,-0.7721961251147036,-0.274137315681628,-0.354940334791479,-0.2825035924993813,0.0,20.0
-27.05576048802658,-0.32543207873106894,-0.3318520616519436,-2.3562766739875087,-0.6350384025686822,-0.28630093724916605,-0.7721961251147036,-0.274137315681628,-0.354940334791479,-0.2825035924993813,1.0,20.0
-15.358165587686699,-0.1701925575262635,-0.15563595355217785,-1.8394309545946044,-0.5246702434638735,-0.2981987665414749,-0.5816586642462198,-0.2428399302368689,-0.2031379104701898,-0.13767715103813316,0.0,21.0
-20.90295693553827,-0.1701925575262635,-0.15563595355217785,-1.8394309545946044,-0.5246702434638735,-0.2981987665414749,-0.5816586642462198,-0.2428399302368689,-0.2031379104701898,-0.13767715103813316,1.0,21.0
-16.325918797116174,-0.2430500747183828,-0.046601587305900694,-2.000924173636747,-0.39321990359604797,-0.20808039850936666,-0.8873865751378389,-0.39093580193718935,-0.2567027132064652,-0.19338976396556973,0.0,22.0
-23.328532297067,-0.2430500747183828,-0.046601587305900694,-2.000924173636747,-0.39321990359604797,-0.20808039850936666,-0.8873865751378389,-0.39093580193718935,-0.2567027132064652,-0.19338976396556973,1.0,22.0
-13.459674603795605,-0.19592777293559038,-0.048924920121976356,-1.604253710540661,-0.3606771746817685,-0.17377204695776527,-0.8109803964038633,-0.3370701079277296,-0.30032015552762914,-0.2496769018553664,0.0,23.0
