poisson_1,poisson_2,label,id
-19.898752792658343,-2.1207330038275813,0.0,121.0
-47.13881708300232,-2.1207330038275813,1.0,121.0
-18.401461683580692,-1.899780373503063,0.0,122.0
-43.888469866508785,-1.899780373503063,1.0,122.0
-27.356356673339633,-2.655651366798338,0.0,123.0
-54.30544279979176,-2.655651366798338,1.0,123.0
-35.8784336973722,-4.134158912472003,0.0,124.0
-62.45910502494871,-4.134158912472003,1.0,124.0
-26.803599252821186,-3.0265180233629962,0.0,125.0
-52.83978849403047,-3.0265180233629962,1.0,125.0
-20.088138845802405,-2.324862363839202,0.0,126.0
-48.46148014789196,-2.324862363839202,1.0,126.0
-21.17087525072907,-2.7674290117165583,0.0,127.0
-47.69171678997964,-2.7674290117165583,1.0,127.0
-21.268575205431716,-2.7836221280431346,0.0,128.0
-79.61506197886388,-2.7836221280431346,1.0,128.0
-22.338361308980893,-2.7199676731429463,0.0,129.0
-45.99133834261306,-2.7199676731429463,1.0,129.0
-29.190052035782628,-4.341611089316302,0.0,130.0
-50.38314815961621,-4.341611089316302,1.0,130.0
-42.1246096012037,-4.967357794759209,0.0,131.0
-89.5534421681109,-4.967357794759209,1.0,131.0
-26.182360870220236,-3.5047704742546557,0.0,132.0
-61.06213039901513,-3.5047704742546557,1.0,132.0
-21.057280846762296,-2.896739419579717,0.0,133.0
-44.44454823946626,-2.896739419579717,1.0,133.0
-18.075495211873886,-1.8211109800402028,0.0,134.0
-38.672979861877366,-1.8211109800402028,1.0,134.0
-20.6307225859332,-1.9586938777545129,0.0,135.0
-34.227189766256515,-1.9586938777545129,1.0,135.0
-18.832849872570478,-2.5162569529829852,0.0,136.0
-32.68448149465303,-2.5162569529829852,1.0,136.0
