poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,label,id
-23.119341477065518,-7.57548740581683,-0.9346987514761622,-3.24704618335943,-1.6899153344677416,0.0,75.0
-41.32786775006275,-7.57548740581683,-0.9346987514761622,-3.24704618335943,-1.6899153344677416,1.0,75.0
-16.036542125477013,-6.099131897765233,-0.8844020957598104,-2.2361674163111047,-1.397281810467689,0.0,76.0
-33.40380273128346,-6.099131897765233,-0.8844020957598104,-2.2361674163111047,-1.397281810467689,1.0,76.0
-10.393633645250304,-3.417182107215581,-0.4483903739689197,-1.6236166009927615,-0.418182770868043,0.0,77.0
-23.4280523065662,-3.417182107215581,-0.4483903739689197,-1.6236166009927615,-0.418182770868043,1.0,77.0
-8.818794319738743,-3.1157036319170857,-0.6926329862818079,-1.3658641977120851,-0.4906408180873427,0.0,78.0
-26.349911705322484,-3.1157036319170857,-0.6926329862818079,-1.3658641977120851,-0.4906408180873427,1.0,78.0
-10.022434233896462,-3.4336060648518014,-0.5780947326623505,-1.64254712303347,-0.6616957443326896,0.0,79.0
-31.453622207252806,-3.4336060648518014,-0.5780947326623505,-1.64254712303347,-0.6616957443326896,1.0,79.0
-9.765125068107608,-3.5479118909419753,-0.8085452889243356,-1.2797843559882534,-0.6321202576096425,0.0,80.0
-33.19687938425696,-3.5479118909419753,-0.8085452889243356,-1.2797843559882534,-0.6321202576096425,1.0,80.0
-13.016558335377454,-4.6822842108647365,-0.793051236796714,-2.612533810307866,-0.8810842469376325,0.0,81.0
-34.709736189330954,-4.6822842108647365,-0.793051236796714,-2.612533810307866,-0.8810842469376325,1.0,81.0
-17.402322189109327,-6.4625645332336035,-1.4708098138715968,-2.668631460648271,-1.0614640478461297,0.0,82.0
-31.30810596369406,-6.4625645332336035,-1.4708098138715968,-2.668631460648271,-1.0614640478461297,1.0,82.0
-12.424787004978214,-4.562719125067247,-0.9502613851556134,-1.645600234238941,-0.9405982243405333,0.0,83.0
-28.94097648982779,-4.562719125067247,-0.9502613851556134,-1.645600234238941,-0.9405982243405333,1.0,83.0
-9.117541894588726,-3.507111345746921,-0.649380733403973,-1.5266087164184512,-0.6539244055636573,0.0,84.0
-27.417051159401865,-3.507111345746921,-0.649380733403973,-1.5266087164184512,-0.6539244055636573,1.0,84.0
-8.356398993956361,-2.6997235132230344,-0.5073281878805176,-1.1957770991800771,-1.2187073564530806,0.0,85.0
-8.356398993956361,-22.200659627398863,-0.5073281878805176,-1.1957770991800771,-1.2187073564530806,1.0,85.0
-11.271761640086396,-3.4854936337090976,-0.582966698119364,-1.6112685922799415,-1.5912994018908222,0.0,86.0
-11.271761640086396,-22.707945081833486,-0.582966698119364,-1.6112685922799415,-1.5912994018908222,1.0,86.0
-11.952112004896037,-3.6778038104801567,-0.6024806012549391,-1.6883902530345267,-1.6214787002415,0.0,87.0
-11.952112004896037,-18.86747945795804,-0.6024806012549391,-1.6883902530345267,-1.6214787002415,1.0,87.0
-13.900209851520572,-4.704290680884583,-0.7854457392849099,-2.3776233820837547,-2.255464167730878,0.0,88.0
-13.900209851520572,-19.24168106493977,-0.7854457392849099,-2.3776233820837547,-2.255464167730878,1.0,88.0
-26.06822715680994,-8.833542108661618,-2.1963090825368,-2.269517006331057,-2.014519025528216,0.0,89.0
