cm_1_power,cm_2_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
682.580899,634.037099,25.73977,10.02029,26.24456,58.402997,21.700544,5.927144,40.128286,10.781148,21.135967,7.767388,50.519839,4.191928,1.66941,40.898406,23.558742,16.18002,8.562406,9.838358,6.470169,18.894463,25.064386,10.389436,23.216785,57.92752,-26.147368,24.872158,26.279577,61.230767,72.177323,23.707426,16.652829,61.595703,-0.029279,22.129053,77.341082,6.993087,8.985228,18.518059,32.298982,2.467071,3.859604,9.729753,14.434521,19.020858,-19.833208,33.301734,23.791968,40.884629,16.176411,34.553824,32.619579,58.540779,21.51593,31.485223,26.855674,0.0,16.0
682.580899,634.037099,25.73977,10.02029,7.905988,58.402997,21.700544,5.927144,40.128286,10.781148,21.135967,7.767388,50.519839,4.191928,1.66941,40.898406,23.558742,16.18002,8.562406,9.838358,6.470169,18.894463,25.064386,10.389436,23.216785,57.92752,-26.147368,24.872158,26.279577,61.230767,72.177323,23.707426,16.652829,61.595703,-0.029279,22.129053,77.341082,6.993087,8.985228,18.518059,32.298982,2.467071,3.859604,9.729753,14.434521,19.020858,-19.833208,33.301734,23.791968,40.884629,16.176411,34.553824,32.619579,58.540779,21.51593,31.485223,26.855674,1.0,16.0
715.186029,631.275393,63.954122,2.603428,25.961463,56.182221,26.175406,7.866183,56.867225,11.56448,17.712461,13.127525,46.512817,6.45277,2.326966,33.636764,22.013224,15.612934,8.744237,12.19924,17.727062,18.596844,21.542199,14.616853,20.367024,53.004946,-30.361034,26.721589,19.313554,71.390214,73.111246,21.277863,17.040267,52.195728,2.3206,17.204371,68.991313,5.536994,4.005838,12.488651,37.664077,-4.705746,15.283948,10.898801,12.047312,23.208089,-15.929727,33.882879,25.730846,28.740315,25.684253,43.418176,17.999167,57.832099,21.035966,36.741116,24.659083,0.0,17.0
715.186029,631.275393,63.954122,2.603428,7.820707,56.182221,26.175406,7.866183,56.867225,11.56448,17.712461,13.127525,46.512817,6.45277,2.326966,33.636764,22.013224,15.612934,8.744237,12.19924,17.727062,18.596844,21.542199,14.616853,20.367024,53.004946,-30.361034,26.721589,19.313554,71.390214,73.111246,21.277863,17.040267,52.195728,2.3206,17.204371,68.991313,5.536994,4.005838,12.488651,37.664077,-4.705746,15.283948,10.898801,12.047312,23.208089,-15.929727,33.882879,25.730846,28.740315,25.684253,43.418176,17.999167,57.832099,21.035966,36.741116,24.659083,1.0,17.0
824.631963,696.063693,69.010697,17.87409,28.523274,78.611555,28.79146,4.264546,46.923616,14.768495,18.560951,7.786731,44.811908,15.728921,4.189476,33.019871,24.392223,17.427687,8.573262,12.207992,19.676285,16.785721,19.499782,12.944294,28.594476,60.575329,-29.985632,33.31253,15.493178,83.455721,94.361993,22.265128,14.631848,75.843616,-1.254818,18.865529,100.821029,5.882649,8.910986,15.024944,79.362428,2.691767,5.762347,9.511399,12.989171,18.35426,-23.939812,33.412614,29.700935,15.854495,30.216167,43.746438,18.083727,57.052559,23.143643,31.419426,22.653396,0.0,18.0
824.631963,696.063693,69.010697,17.87409,8.592435,78.611555,28.79146,4.264546,46.923616,14.768495,18.560951,7.786731,44.811908,15.728921,4.189476,33.019871,24.392223,17.427687,8.573262,12.207992,19.676285,16.785721,19.499782,12.944294,28.594476,60.575329,-29.985632,33.31253,15.493178,83.455721,94.361993,22.265128,14.631848,75.843616,-1.254818,18.865529,100.821029,5.882649,8.910986,15.024944,79.362428,2.691767,5.762347,9.511399,12.989171,18.35426,-23.939812,33.412614,29.700935,15.854495,30.216167,43.746438,18.083727,57.052559,23.143643,31.419426,22.653396,1.0,18.0
1151.290482,903.977028,93.697631,40.731335,21.618904,92.218753,71.806061,8.451232,95.766774,13.206642,20.166712,9.020706,42.87428,11.462729,13.832399,32.951446,25.487853,21.155487,10.359601,10.113929,40.630858,16.051209,59.646087,12.868762,59.87957,57.737189,-6.885274,52.62367,36.781388,81.601213,110.460193,30.995247,19.130672,150.587986,15.255158,20.803511,80.412496,16.389367,14.953255,11.682282,49.841192,6.031217,19.950467,8.818089,11.670926,20.071771,26.462846,35.340185,57.87793,22.157674,27.253818,39.473808,28.783177,58.564575,50.236755,24.528418,22.33073,0.0,19.0
1151.290482,903.977028,93.697631,40.731335,6.512542,92.218753,71.806061,8.451232,95.766774,13.206642,20.166712,9.020706,42.87428,11.462729,13.832399,32.951446,25.487853,21.155487,10.359601,10.113929,40.630858,16.051209,59.646087,12.868762,59.87957,57.737189,-6.885274,52.62367,36.781388,81.601213,110.460193,30.995247,19.130672,150.587986,15.255158,20.803511,80.412496,16.389367,14.953255,11.682282,49.841192,6.031217,19.950467,8.818089,11.670926,20.071771,26.462846,35.340185,57.87793,22.157674,27.253818,39.473808,28.783177,58.564575,50.236755,24.528418,22.33073,1.0,19.0
926.14359,743.90056,67.906129,18.522989,25.90625,59.58861,30.294812,10.921263,76.969174,11.027051,22.072613,9.641139,64.827573,14.768184,13.311265,35.436935,25.205816,18.546654,10.513143,10.513156,31.980438,17.319269,16.598355,15.170915,36.134963,74.15956,-13.231518,37.319579,36.531717,66.519978,87.83265,26.404504,14.88042,54.009225,18.669539,18.373197,77.788346,20.283673,14.777613,15.824437,32.597929,12.051898,15.631875,11.763117,9.852988,19.374431,29.04123,39.930741,33.098931,17.702606,29.443642,44.501688,20.494179,72.94652,24.871678,24.274191,19.635104,0.0,20.0
926.14359,743.90056,67.906129,18.522989,7.804075,59.58861,30.294812,10.921263,76.969174,11.027051,22.072613,9.641139,64.827573,14.768184,13.311265,35.436935,25.205816,18.546654,10.513143,10.513156,31.980438,17.319269,16.598355,15.170915,36.134963,74.15956,-13.231518,37.319579,36.531717,66.519978,87.83265,26.404504,14.88042,54.009225,18.669539,18.373197,77.788346,20.283673,14.777613,15.824437,32.597929,12.051898,15.631875,11.763117,9.852988,19.374431,29.04123,39.930741,33.098931,17.702606,29.443642,44.501688,20.494179,72.94652,24.871678,24.274191,19.635104,1.0,20.0
